Código,Nome da Sociedade,Data,Data_original,Endereço,Licença,Estatuto,Notação-GIFI,Tipo de licença,Obs,Presidente,Licença anterior,Nomes/Sujeitos,Doc policial,Tipo_licenca_categoria,Tipo_licenca_componentes
198,grupo carnavalesco amantes do beija-flor,1906-02-03,03/02/1906,"rua benedito hipolito, 136",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
199,clube recreativo carnavalesco rei das chamas,1906-02-05,05/02/1906,"rua de santo cristo, 239, sobrado",0,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
200,clube carnavalesco filhas das luzitanas,1906-02-05,05/02/1906,"rua da américa, 28, sobrado",0,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
201,grupo dos infantes filhos dos clowns,1906-02-09,09/02/1906,"rua dos cajueiros, 25",0,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
202,clube carnavalesco montanha cerrada,1906-02-06,06/02/1906,"rua do cornelio, 10 A",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
203,grupo carnavalesco iaiá me deixe,1906-02-16,16/02/1906,"rua ds cajueiros, 12",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
204,clube carnavalesco filhos da prainha,1906-02-08,08/02/1906,"rua do francisco eugenio, 5",0,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
205,grêmio carnavalesco filhos do triunfo da glória,1906-02-08,08/02/1906,"rua do catete, 57",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
206,clube carnavalesco adamastor,1906-02-08,08/02/1906,"rua do areal, 39",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
207,sociedade dançante e carnavalesca triunfo flor da romã,1906-02-09,09/02/1906,"travessa d. rosa, 15",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
208,grupo carnavalesco estrela de ouro da saúde,1906-02-08,08/02/1906,"rua da saúde, 166",1,1,6c170,aprovação de estatutos e licença anual,,,0,0,0,estatutos_anual,estatutos|licenca_anual
209,clube carnavalesco dos caiadores,1906-02-15,15/02/1906,rua da saúde 117,1,0,6c170,aprovação de estatutos e licença anual,,,0,0,0,estatutos_anual,estatutos|licenca_anual
210,grupo carnavalesco filas da cachoeira,1906-02-24,24/02/1906,"rua curuzú, 17",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
211,grupo carnavalesco filhos dos teimosos do engenho velho,1906-02-03,03/02/1906,rua nova de são leopoldo,1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
212,sociedade carnavalesca flor da carioca,1906-02-01,01/02/1906,"rua laura, 29, jardim botânico",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
213,sociedade carnavalesca filhos da flor do barroso,1906-02-05,05/02/1906,"rua dr. Rego barros, 54",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
214,grupo carnavalesco estrela de oura de vila isabel,1906-02-12,12/02/1906,"rua visconde de abaeté, 1",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
215,sociedade dançante carnavalesca filhos da montanha cerrada,1906-02-06,06/02/1906,"travessa do bonjardim, 93",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
216,sociedade recreatica carnavalesca flor da união,1906-02-01,01/02/1906,estação de bangu,1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
217,clube dos fenianos,1906-02-08,08/02/1906,"travessa de são francisco de paula, 22",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
218,clube de paquetá,1906-02-22,22/02/1906,ilha de mesmo nome,0,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
219,grupo das aguias,1906-02-22,22/02/1906,"rua da glória, 80",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
220,grupo carnavalesco paladinos do catete,1906-02-07,07/02/1906,"rua de santo amaro, 84",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
221,grêmio carnavalesco filhos da rainha do mar,1906-02-07,07/02/1906,"rua de santo amaro, 84",1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
222,sociedade carnavalesca somos irmãos,1906-02-20,20/02/1906,"rua do riachuelo, 96",1,0,6c170,sair no carnaval,sócios e moradias,,0,1,0,desfile_carnavalesco,desfile_carnavalesco
223,bando carnavalesco teimosos da flor da ilha,1906-02-15,15/02/1906,,1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
224,grêmio carnavalesco flor da lira,1906-02-24,24/02/1906,bangu,1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
225,sociedade carnavalesca vulcanos da gavea,1906-02-17,17/02/1906,"rua dias ferreira, 2",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
226,sociedade carnavalesca estrela da gávea,1906-02-17,17/02/1906,"rua marquez de são vicente, 47",1,0,6c170,licença,,,0,0,0,licenca_anual,licenca_anual
227,sociedade carnavalesca heróis de botafoogo,1906-02-15,15/02/1906,,0,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
228,sociedade carnavalesca destemidos das chamas,1906-02-10,10/02/1906,"rua benedicto hipólito, 73",1,0,6c170,levar estandarte até o JB,,,0,0,0,passeata,passeata
229,bando fantasiado filhos do mar,1906-02-15,15/02/1906,freguesia de guaratiba,1,0,6c170,sair no carnaval,lista de sócios,,0,1,0,desfile_carnavalesco,desfile_carnavalesco
230,grupo carnavalesco destemidos do catete,1906-02-14,14/02/1906,"rua de santo amaro, 58",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
231,bando fantasiado estrela de prata de guaratiba,1906-02-15,15/02/1906,guaratiba,1,0,6c170,sair no carnaval,só se organiza no carnaval,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
232,sociedade carnavalesca canonha de ouro,1906-02-17,17/02/1906,"rua jardim botânico, 61",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
233,grêmio carnavalesco flor do andaraí grande,1906-02-21,21/02/1906,"rua duqueza de bragança, 2",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
234,C. Ribeiro Komp,1906-02-14,14/02/1906,"rua frei caneca, 75",1,0,6c170,licença para levar estandarte até o clube dos fenianos,,,0,0,0,passeata,passeata
235,clube carnavalesco filhos da prainha,1906-02-08,08/02/1906,"rua francisco eugênio, 59",1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
236,grupo carnavalesco flor das chamas,1906-02-23,23/02/1906,ilha do governador,1,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
237,grupo carnavalescos lira encantada,1906-02-10,10/02/1906,"rua sá, 33, encantado",0,0,6c170,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
238,grupo carnavalesco república do brasil,1906-02-07,07/02/1906,"ladeira do barroso, 27",1,0,6c170,licença anual,até 6790,,0,0,0,licenca_anual,licenca_anual
239,sociedade carnavalesca anjo de prata,1906-02-08,08/02/1906,"rua bambina, 70",1,0,6c170,licença anual,,,0,0,0,licenca_anual,licenca_anual
240,Clube teimosos carnavslesco,1906-02-20,20/02/1906,"rua barão de são felix, 130",1,0,6c171,sair no carnaval com zé pereira,,manoel joaquim de brito,0,0,0,desfile_carnavalesco,desfile_carnavalesco|ze_pereira
241,grupo carnavalesco prazer da lira,1906-02-20,20/02/1906,beco das carmelitas,1,0,6c171,sair no carnaval com,só se organiza no carnaval / sócios e residências,adolfo campos,0,1,0,desfile_carnavalesco,desfile_carnavalesco
242,grupo turunas carnavalescos de botafogo,1906-02-20,20/02/1906,"rua da passagem, 36",1,0,6c171,sair no carnaval com,,marcolino lopes dos anjos,0,0,0,desfile_carnavalesco,desfile_carnavalesco
243,sociedade carnavalesca pombinhas de ouro,1906-02-16,16/02/1906,rua da matriz 58,1,0,6c171,sair no carnaval com,,alfredo luiz tuller [?],0,0,0,desfile_carnavalesco,desfile_carnavalesco
244,clube dos balieiros,1906-02-17,17/02/1906,"rua da passagem, 73, botafogo",1,0,6c171,sair no carnaval com,diretoria,paulino josé borges,0,1,0,desfile_carnavalesco,desfile_carnavalesco
245,clube carnavalesco pedrinha de ouro,1906-02-23,23/02/1906,,0,0,6c171,sair no carnaval com,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
246,clube dos democráticos da cidade nova,1906-02-23,23/02/1906,"rua frei caneca, 177",1,0,6c171,sair no carnaval com,,josé maria de almeida,0,0,0,desfile_carnavalesco,desfile_carnavalesco
247,clube carnavalesco flor dos amantes da gávea,1906-02-26,26/02/1906,"rua dr. Dias ferreira, 12",1,0,6c171,sair hoje e amanhã,,narcizo pereira da costa,0,0,0,desfile_carnavalesco,desfile_carnavalesco
248,sociedade carnavalesca flor da carioca,1906-02-20,20/02/1906,"rua Sousa, 29, jardim botânico",1,0,6c171,sair no carnaval com,"diretoria, sócios e residencias",joão caetano de oliveira,0,1,0,desfile_carnavalesco,desfile_carnavalesco
249,clube de são christóvão,1906-02-21,21/02/1906,"praça marechal deodoro, 21",1,0,6c171,sair no carnaval,,francisco [ilegível],0,0,0,desfile_carnavalesco,desfile_carnavalesco
250,grupo carnavalesco triunfo da borboleta de ouro,1906-02-23,23/02/1906,"rua barão de mesquita, 24",1,0,6c171,sair no carnaval,"só se organiza no carnaval / diretoria, sócios e residencias",[ilegível] josé cardoso,0,1,0,desfile_carnavalesco,desfile_carnavalesco
251,sociedade carnavalesca rosa adélia,1906-02-23,23/02/1906,rua senador pompeu,1,0,6c171,sair no carnaval,"só se organiza no carnaval / diretoria, sócios e residencias",cezário marques de douza,0,1,0,desfile_carnavalesco,desfile_carnavalesco
252,sociedade carnavalesca herois da mocidade,1906-02-19,19/02/1906,"rua marques de pombal, 30",1,0,6c171,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
253,grupo carnavalesco os viciados,1906-02-21,21/02/1906,"ladeira joão homem, 63",1,0,6c171,sair no carnaval,"só se organiza no carnaval / diretoria, sócios e residencias",joaquim da silva freitas,0,1,0,desfile_carnavalesco,desfile_carnavalesco
254,grupo carnavalesco prazer dos anjos,1906-02-23,23/02/1906,"rua mont'alverne, 71",1,0,6c171,sair no carnaval,sócios,oscar de araujo e silva,0,0,0,desfile_carnavalesco,desfile_carnavalesco
255,grupo carnavalesco dos cartolas escovados,1906-02-22,22/02/1906,"rua visconde de sapucai, 222",1,0,6c171,sair no carnaval,"só se organiza no carnaval / diretoria, sócios e residencias",alfredo bibiano de alcantara,0,1,0,desfile_carnavalesco,desfile_carnavalesco
256,grupo carnavalesco filhos dos teimosos do engenho velho,1906-02-19,19/02/1906,"rua nova de são leopoldo, 1",1,0,6c171,sair no carnaval,,brazeto josé de oliveira,0,0,0,desfile_carnavalesco,desfile_carnavalesco
257,sociedade carnavalesca estrela da gávea,1906-02-24,24/02/1906,"rua marques de são vicente, 7",0,0,6c171,funcionar no corrente ano,,alfredo leocádio da silva,0,0,0,licenca_anual,licenca_anual
258,sociedade dançante carnavalesca amantes do sereno,1906-02-14,14/02/1906,rua dr. Rego barros. 35,1,0,6c171,sair no carnaval,,,0,0,0,desfile_carnavalesco,desfile_carnavalesco
259,grupo carnavalesco paladinos do catete,1906-02-21,21/02/1906,"rua santo amaro, 84",1,0,6c171,sair no carnaval,,augusto lopes,0,0,0,desfile_carnavalesco,desfile_carnavalesco
260,grupo carnavalesco anjos da alegria,1906-02-24,24/02/1906,"rua conselheiros costa pereira, 5",0,0,6c171,sair no carnaval,,olegário joão babtista,0,0,0,desfile_carnavalesco,desfile_carnavalesco
261,grupo carnavalesco cachinho de ouro,1906-02-15,15/02/1906,"rua theodoro da silva, 47",1,0,6c171,sair no carnaval,só se organiza no carnaval / ver img 4098 até 4100,feliciano correa de sá,0,0,0,desfile_carnavalesco,desfile_carnavalesco
